area,businessScope,companyController,companyName,issuingAuthority,legalRepresentative,license,licenseDate,qualityRepresentative,registrationAddress,repositoryAddress,validTillDate
武昌区,处方药、非处方药(甲类、乙类)：中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏药品***,温杏娥,武汉萍宇堂大药房有限公司,武汉市武昌区行政审批局,金斌,鄂DA0275509,20171011,裴培,武昌区马蹄营41号2栋丙-1-1、1-2号,--,2020-04-12
洪山区,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,高惟学,湖北省昌盛大药房有限公司保利城店,武汉市洪山区行政审批局,——,鄂CB0276909,20171011,李路,武汉市洪山区保利城一期19号楼7号商铺,由湖北省昌盛大药房有限公司统一配送,2022-10-10
江汉区,处方药(禁止类除外)、非处方药;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,雷云锋,湖北同济堂药房有限公司同济堂新华路药店,武汉市江汉区行政审批局,***,鄂CB0272411,20171011,关晓濛,武汉市江汉区解放大道846号,由湖北同济堂药房有限公司统一配送,2020-12-21
洪山区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,周从辉,武汉森之林大药房有限公司,武汉市洪山区行政审批局,刘岗飞,鄂DA0277034,20171011,夏宁,洪山区万科金色城市二期18-7、10号楼商铺1层1号,——,2019-08-25
江夏区,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,胡建军,武汉惠爱康大药房有限公司,武汉市江夏区行政审批局,陈冬枝,鄂DB0279083,20170907,田飞,江夏区庙山开发区江夏大道梅南山居一期商网39号,******,2020-04-27
东西湖区,处方药(不含禁止类)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,张淑琴,武汉敬仁堂大药房有限公司,武汉市东西湖区食品药品监督管理局,姚锐,鄂DA0276718,20171011,岳琼,武汉市东西湖区马池水产品公司（金银湖马池路、环湖路东）银湖水榭32栋1层1室,***,2022-04-11
江夏区,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,孙志敏,武汉正元国人大药房有限责任公司,武汉市江夏区行政审批局,李明,鄂DA0276908,20171011,张雯瑾,武汉市江夏区藏龙岛栗庙村阳光100大湖第七期 第54幢1层16号,***,2022-10-10
东湖生态旅游风景区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,赵次玲,湖北益丰大药房连锁有限公司武汉东湖景园分...,武汉市东湖生态旅游风景区食品药品监督管理局,高毅,鄂CA0270505,20170803,周智慧,武汉市东湖景园20栋6、7、8号商铺,本部,2020-01-13
洪山区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,吴胜男,武汉瑞锦堂大药房有限公司,武汉市洪山区行政审批局,蔡利平,鄂DA0277031,20170802,潘玲玲,武汉市洪山区红旗欣居商业街D1-115-215商铺,——,2019-08-14
东西湖区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,赵次玲,湖北益丰大药房连锁有限公司武汉六顺路分店,武汉市东西湖区食品药品监督管理局,-------,鄂CB0278045,20170802,潘玉婵,武汉市东西湖区吴家山六顺路235号,由湖北益丰大药房连锁有限公司统一配送,2021-01-19
东西湖区,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,郑红云,湖北益生天济大药房连锁有限公司三秀路店,武汉市东西湖区食品药品监督管理局,***,鄂CB0276847,20170802,谭琼,武汉市东西湖区三秀路392号祁家山北片旧城改造4栋112室113室,由湖北益生天济大药房连锁有限公司统一配送,2022-08-01
武昌区,处方药、非处方药（甲类、乙类）：中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)、含冷藏药品***,杨芬,老百姓大药房连锁（湖北）有限公司武汉彭刘...,武汉市武昌区行政审批局,——,鄂CB0273383,20170721,程芳芝,武汉市武昌区彭刘杨路232号1层部分,由老百姓大药房连锁（湖北）有限公司配送,2020-04-29
东西湖区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,赵次玲,湖北益丰大药房连锁有限公司武汉三秀路分店,武汉市东西湖区食品药品监督管理局,--------,鄂CB0278264,20170724,郭姣娥,武汉市东西湖区三秀路东革新大道南1号楼一楼003号,由湖北益丰大药房连锁有限公司统一配送,2020-04-21
武昌区,处方药、非处方药（甲类、乙类）：中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏药品***,赵次玲,湖北益丰大药房连锁有限公司武汉大成路分店,武汉市武昌区行政审批局,——,鄂CB0275448,20170720,朱美娇,武汉市武昌区大成路73号1-1-5号,由湖北益丰大药房连锁有限公司配送,2019-03-13
黄陂区,处方药(不含禁止类)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,周霞,武汉市感恩堂大药房有限公司,武汉市黄陂区市场监督管理局,吴建雄,鄂DB0279594,20170724,殷小凡,武汉市黄陂区祁家湾街光明街41号,武汉市黄陂区祁家湾街道光明街41号,2020-08-11
武昌区,处方药、非处方药(甲类、乙类)：中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏药品***,赵次玲,湖北益丰大药房连锁有限公司武汉车辆厂分店,武汉市武昌区行政审批局,——,鄂CB0275609,20170718,李刚健,武汉市武昌区和平大道776号,由湖北益丰大药房连锁有限公司配送,2021-01-28
武昌区,处方药、非处方药（甲类、乙类）：中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)、含冷藏药品***,赵次玲,湖北益丰大药房连锁有限公司武汉瑞安街分店,武汉市武昌区行政审批局,——,鄂CB0276606,20170718,潘秀峰,武汉市武昌区松涛苑D区3栋1层2室、3室商铺,由湖北益丰大药房连锁有限公司配送,2021-12-25
武昌区,处方药、非处方药（甲类、乙类）：中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏药品***,赵次玲,湖北益丰大药房连锁有限公司武汉紫阳街分店,武汉市武昌区行政审批局,——,鄂CB0275418,20170718,谢飞,武汉市武昌区水陆小区第1栋1、2单元1层,由湖北益丰大药房连锁有限公司配送,2020-09-27
蔡甸区,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品。（不含冷藏冷冻药品）***,刘芸,武汉修正堂大药房连锁经营有限公司常福店,武汉市蔡甸区行政审批局,***,鄂CB0276380,20170717,张勇钢,武汉市蔡甸区常福工业示范园福吉路（武汉赛尔工业园2号倒班楼一楼E区）,由武汉修正堂大药房连锁经营有限公司统一配送,2021-07-24
洪山区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,赵次玲,湖北益丰大药房连锁有限公司武汉江宏花园分...,武汉市洪山区行政审批局,——,鄂CB2015112402,20170713,朱丽玲,武汉市洪山区洪山街虾湖院11-13号门面,由湖北益丰大药房连锁有限公司统一配送,2020-11-23
洪山区,处方药(不含禁止类)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,赵次玲,湖北益丰大药房连锁有限公司武汉新世纪花园...,武汉市洪山区行政审批局,——,鄂CB0276390,20170713,吴晶,武汉市洪山区新世纪花园2期A区5栋1层3-1号商铺,由湖北益丰大药房连锁有限公司统一配送,2021-07-27
武昌区,处方药、非处方药（甲类、乙类）：中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏药品***,高鸽子,湖北传奇春天大药房连锁有限公司,武汉市武昌区行政审批局,——,鄂BA0275564,20170713,许旭,武汉市武昌区首义新村45栋3层2号，5号,——,2020-09-08
洪山区,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,赵次玲,湖北益丰大药房连锁有限公司武汉徐东馨苑分...,武汉市洪山区行政审批局,——,鄂CB0276719,20170713,侯建国,武汉市洪山区杨园南路徐东还建楼9号楼负1楼,由湖北益丰大药房连锁有限公司统一配送,2022-04-12
青山区,处方药、非处方药(甲类、乙类）、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)******,赵次玲,湖北益丰大药房连锁有限公司武汉冶金一街分...,武汉市青山区行政审批局,----,鄂CB0276168,20170707,陈津,武汉市青山区24街坊42门商业网点,由湖北益丰大药房连锁有限公司统一配送,2018-11-18
东湖新技术开发区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,王小玲,武汉市宝瑞堂大药房,武汉东湖新技术开发区市场监督管理局,王小玲,鄂DB0270760,20170710,张一娟,武汉市东湖新技术开发区高新二路佳源花都2期商铺C1C2栋1楼,**,2018-05-28
东湖新技术开发区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,张东芬,湖北同济堂药房有限公司健民中南药店,武汉东湖新技术开发区市场监督管理局,***,鄂DB0270849,20170710,何一,洪山区中南财经政法大学南湖校区西门点1号,***,2020-06-28
青山区,处方药(禁止类除外)、非处方药（甲类、乙类）、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏冷冻药品******,夏瑛,武汉马应龙大药房连锁股份有限公司园林路药...,武汉市青山区行政审批局,----,鄂CB0276199,20170630,刘卫华,和平乡东兴洲村罗家路65号A栋1层1号,由武汉马应龙大药房连锁股份有限公司统一配送,2019-12-29
黄陂区,非处方药、中药饮片、处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品。（不含冷藏冷冻药品）***,王立优,湖北美罗汇健康药房有限公司武汉黄陂杏林花...,武汉市黄陂区市场监督管理局,***,鄂CB0279587(更),20170622,杨保姣,黄陂区前川街群光村五组、东寺村杏林花苑1栋1层15-16室,由湖北美罗汇健康药房有限公司统一配送,2020-04-15
东湖新技术开发区,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,廖高明,武汉惠好大药房有限公司理想城店,武汉东湖新技术开发区食品药品监督管理局,***,鄂DB0276795,20170616,曾静,武汉市东湖新技术开发区光谷大道关南园路12号光谷理想城底层商业街3A#145、146号,***,2022-06-15
硚口区,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（不含冷藏冷冻药品）***,龙雪峰,武汉市夜华医药有限公司,武汉市硚口区行政审批局,刘铮,鄂DA0276812,20170630,童晓晴,武汉市硚口区古田三路4号1栋附6号,———,2022-06-29
青山区,甲类非处方药、乙类非处方药;中成药、化学药制剂、生化药品***,夏瑛,武汉马应龙大药房连锁股份有限公司建一药店,武汉市青山区行政审批局,----,鄂CB0276017,20170619,李莉,青山区建设一路62号付1号,由武汉马应龙大药房连锁股份有限公司统一配送,2020-11-25
东西湖区,处方药(不含禁止类与限制类药品)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（不含冷藏冷冻药品）***,汤明起,武汉东明药房连锁有限公司万科高尔夫分店,武汉市东西湖区食品药品监督管理局,--------,鄂CB0278235,20170628,戴路,武汉市东西湖区高尔夫城市花园四期8805幢1层商业6号、7号房,由武汉东明药房连锁有限公司统一配送,2020-12-29
青山区,处方药(禁止类除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,夏瑛,武汉马应龙大药房连锁股份有限公司东青药店,武汉市青山区行政审批局,----,鄂CB0276015,20170619,陈水平,青山区青山船厂文艺厅西侧,由武汉马应龙大药房连锁股份有限公司统一配送,2020-12-20
汉阳区,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏药品）***,赵次玲,湖北益丰大药房连锁有限公司武汉铁桥广场分...,武汉市汉阳区食品药品监督管理局,***,鄂CB0276810,20170628,付玉,武汉市汉阳区琴断口街金龙花园社区百灵路2号铁桥广场项目二座1层A102、A103、A105,***,2022-06-27
经济技术开发区（汉南区）,处方药（不含禁止类）、非处方药：中成药、化学药制剂、抗生素制剂、生化药品、生物制品（不含疫苗）（含冷藏药品）***,刘露,武汉同仁美康大药房有限公司薛峰店,武汉经济技术开发区（汉南区）行政审批局,***,鄂CB0270640,20170626,袁怀凤,武汉经济技术开发区幸福社区七区商铺F2-110、111号,由武汉同仁美康大药房有限公司统一配送,2022-06-25
东西湖区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,江丽华,武汉善缘居大美药房有限公司,武汉市东西湖区食品药品监督管理局,姚瑜歆,鄂DA0278040,20170612,王丹,武汉市东西湖区吴家山三店易家湾渡头嘴北丰尚时代广场熙龙湾1号1层5号房（10）,***,2021-04-18
东湖新技术开发区,处方药(不含禁止类与限制类药品);生物制品(不含疫苗)。（含冷藏冷冻药品）***,汪小红,武汉瑞仁大药房有限公司,武汉东湖新技术开发区市场监督管理局,黄磊,鄂DA0276788,20170612,何利霞,武汉市东湖新技术开发区光谷七路99号院内的办公楼一楼,***,2022-06-11
东西湖区,处方药(禁止类与限制类药品除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,程玲,武汉保安康大药房,武汉市东西湖区食品药品监督管理局,---------,鄂DB0278163,20170612,吴思思,武汉市东西湖区柏泉办事处新苑社区安怡园3栋1单元,*******,2020-12-27
东湖新技术开发区,处方药(不含禁止类)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,殷明,武汉百药惠药房有限公司光谷文化创意产业园...,武汉东湖新技术开发区市场监督管理局,李爱兵,鄂DB0276791,20170613,彭静,武汉市东湖新技术开发区流芳大道52号武汉·中国光谷文化创意产业园（D#）D-12幢1层8号,***,2022-06-12
东西湖区,处方药(禁止类与限制类药品除外)、非处方药;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,张慧,武汉东明药房连锁有限公司华星分店,武汉市东西湖区食品药品监督管理局,汤明起,鄂CB0278134（更）,20170522,彭静,武汉市东西湖区吴家山革新大道南四支沟东北冰洋旁,由武汉东明药房连锁有限公司统一配送,2019-11-04
江汉区,处方药(禁止类除外)、非处方药(甲类、乙类）、中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,李娟,武汉昕天康药业有限公司,武汉市江汉区行政审批局,李娟,鄂DA0271405,20170602,梅凌,湖北省武汉市江汉区新华路738号三金华都1期（B1地块）11栋1-2层商3,***,2021-01-18
黄陂区,处方药(不含禁止类)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,罗芙蓉,武汉市宏康大药房连锁有限公司摩卡药店,武汉市黄陂区市场监督管理局,***,鄂CB0276767,20170522,肖晓庆,武汉市黄陂区盘龙城经济开发区露甲山6号盘龙新天地二期7栋1-2层19号,由武汉市宏康大药房连锁有限公司统一配送,2022-05-21
硚口区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,杨芬,老百姓大药房连锁（湖北）有限公司武汉古田...,武汉市硚口区行政审批局,———,鄂CB0273252,20170516,杨虓,武汉市硚口区解放大道134号2栋商网1层1号,老百姓大药房连锁（湖北）有限公司配送,2019-10-20
武昌区,处方药、非处方药（甲类、乙类）：中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏药品***,郑红云,湖北益生天济大药房连锁有限公司锦绣江南店,武汉市武昌区食品药品监督管理局,——,鄂CB0275424,20170406,邵欢,武昌区中北路统建锦绣江南四期26幢1层商2、3号,由湖北益生天济大药房连锁有限公司统一配送,2020-01-15
江岸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,杨光,武汉隆泰益丰大药房连锁有限公司同安家园店,武汉市江岸区食品药品监督管理局,,鄂CB0271398,20170401,李琪,武汉市江岸区后湖乡同安家园1栋1/2层商10-11号,,2021-01-25
江岸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,杨光,武汉隆泰益丰大药房连锁有限公司三阳店,武汉市江岸区食品药品监督管理局,,鄂CB0271359,20170401,刘建凤,武汉市江岸区麟趾路特1号,,2020-01-03
江岸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,杨光,武汉隆泰益丰大药房连锁有限公司工农兵路店,武汉市江岸区食品药品监督管理局,***,鄂CB0271360,20170401,潘春艳,武汉市江岸区二七路东立国际第31幢1层300、301、302号,,2020-01-04
江夏区,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,甘辉军,武汉市爱尔康大药房有限公司山坡店,武汉市江夏区食品药品监督管理局,***,鄂CB0276693,20170329,宁晓俐,武汉市江夏区山坡街道星明街179-2-3号,武汉市爱尔康大药房有限公司统一配送,2022-03-28
蔡甸区,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,王娟,湖北善仁堂大药房有限公司龙台桃源店,武汉市蔡甸区食品药品监督管理局,***,鄂CB0276698,20170330,蔡爽,武汉市蔡甸区沌口小区听涛观海三期A3A4栋1层10、11号,武汉市蔡甸区,2022-03-29
江岸区,处方药(不含禁止类)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,杨光,武汉隆泰益丰大药房连锁有限公司二曜店,武汉市江岸区食品药品监督管理局,---,鄂CB0271394,20170401,沈映虹,武汉市江岸区二曜路19号,无,2021-06-23
江岸区,处方药(禁止类与限制类药品除外)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,杨光,武汉隆泰益丰大药房连锁有限公司花桥店,武汉市江岸区食品药品监督管理局,***,鄂CB0271362,20170401,张薇,武汉市江岸区花桥街天成花园2栋1层,,2020-01-07
洪山区,处方药(不含禁止类)、非处方药;中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,杨善学,武汉恩昌济大药房有限公司,武汉市洪山区食品药品监督管理局,杨善学,鄂DA0276645,20170123,卢双全,武汉市洪山区卓刀泉南路119号鹿鸣苑1#-2#栋连接商铺1-2层7号商铺,——,2022-01-22
东湖生态旅游风景区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,李勇,武汉康业大药房有限责任公司,武汉市东湖生态旅游风景区食品药品监督管理局,施斌,鄂DA0270522,20170119,谢平平,武汉市东湖生态旅游风景区东湖风景区,龚家岭村张家铺中学旁,2022-01-18
江岸区,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品。（不含冷藏冷冻药品）***,朱孝娥,武汉海王星辰医药连锁有限公司友益街店,武汉市江岸区食品药品监督管理局,***,鄂CB0276635,20170119,曹利,武汉市江岸区尚德里2号楼1层15室,由武汉海王星辰医药连锁有限公司统一配送,2022-01-18
东湖新技术开发区,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,李莉华,武汉福安堂大药房有限责任公司,武汉东湖新技术开发区市场监督管理局,熊健兵,鄂DA0276634,20170119,周凌,武汉市东湖新技术开发区政院居委会茶山刘（南湖大道116号）南湖时尚城K6栋k6-1-1-2号,***,2022-01-18
黄陂区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（含冷藏冷冻药品）***,熊蓓,武汉济仁堂大药房连锁有限公司,武汉市黄陂区市场监督管理局,张文浩,鄂BA0279305,20170119,张丽,武汉市黄陂区前川街创新大道8号同联顺工业园厂房5-3-3,武汉市黄陂区前川街创新大道8号同联顺工业园厂房5-2-3  5-3-3,2020-11-15
江岸区,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(不含疫苗)。（不含冷藏冷冻药品）***,袁乐,武汉民益大药房有限责任公司汉口医院药店,武汉市江岸区食品药品监督管理局,肖利明,鄂DA0276636,20170119,杨广,武汉市江岸区解放大道2263号（105-109）室,***,2022-01-18
蔡甸区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)***,肖国祥,湖北心连心药房连锁有限责任公司汉阳大街店,武汉市蔡甸区食品药品监督管理局,***,鄂CB0278796,20170119,王莉,武汉市蔡甸区汉阳大街五十七号附二、三号,******,2020-03-19
洪山区,处方药(不含禁止类)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂。（含冷藏冷冻药品）***,王红梅,武汉千海兴龙大药房有限公司金鹤园分店,武汉市洪山区食品药品监督管理局,***,鄂DB0276638,20170119,刘勤,武汉市洪山区大洲村建一南路汇誉市场2楼201号,***,2022-01-18
武昌区,处方药、非处方药(甲类、乙类);中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、除冷藏冷冻药品外***,刘敏,武汉市汉深大药房连锁有限公司余家头分店,武汉市武昌区食品药品监督管理局,___,鄂CB0275005,20161121,台志华,武昌和平大道1018号,由武汉市汉深大药房连锁有限公司配送,2020-01-28
青山区,处方药(禁止类除外)、非处方药(甲类、乙类)、中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、生物制品(除疫苗外)、含冷藏冷冻药品******,夏瑛,武汉马应龙大药房连锁股份有限公司沿港药店,武汉市青山区食品药品监督管理局,----,鄂CB0276025,20161124,陈颖,武汉市青山区沿港路3号,由武汉马应龙大药房连锁股份有限公司统一配送,2020-01-26
硚口区,处方药(禁止类除外)、非处方药、中药饮片;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品（不含冷藏冷冻药品）***,肖国祥,湖北心连心药房连锁有限责任公司新墩店,武汉市硚口区食品药品监督管理局,———,鄂CB0273266,20161116,郭丹丹,武汉市硚口区古田四路27附21号长华公寓（二期）3号楼栋1层（3）商,湖北心连心药房连锁有限责任公司配送,2019-03-02
江汉区,处方药(禁止类除外)、非处方药;中药饮片、中成药、化学药制剂、抗生素制剂、生化药品、除冷藏冷冻药品外。******,朱孝娥,武汉海王星辰医药连锁有限公司常青一路店,武汉市江汉区食品药品监督管理局,***,鄂CB0272374,20161117,张蔓,江汉区常青一路10号福星惠誉福星城10栋1-2层商8,由武汉海王星辰医药连锁有限公司统一配送,2020-10-13
